species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,FEMALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE
Adelie,Torgersen,,,,,
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,MALE
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,FEMALE
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,FEMALE
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE
Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE
Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE
Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE
Adelie,Dream,37.5,18.9,179.0,2975.0,
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,MALE
Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,MALE
Adelie,Torgersen,42.0,20.2,190.0,4250.0,
Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,FEMALE
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE
Chinstrap,Dream,45.9,17.1,190.0,3575.0,FEMALE
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE
Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,MALE
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,MALE
Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE
Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE
Chinstrap,Dream,50.9,17.9,196.0,3675.0,FEMALE
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,MALE
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE
